player,GP,MIN per game,AST per game,"Passes 
per game",Total AST,"FT Assists 
per game","Secondary Assists 
per game","Assist opportunities 
per game","Points created by 
assist per game","Points Created by 
AST Per 48 Min"
Dwight Howard,71,34,1.8,40.9,131,0.2,0.5,3.5,4.4,6.2
Dwyane Wade,54,33.1,4.7,37.6,252,0.4,1,8.7,10.8,15.7
Earl Clark,9,7.9,0.2,7.7,2,0.2,0,0.3,0.6,3.4
Earl Clark,45,15.6,0.4,15.8,16,0.1,0.2,0.9,0.8,2.5
Earl Clark,54,14.3,0.3,14.4,18,0.1,0.2,0.8,0.8,2.6
Earl Watson,24,6.7,1.2,12.9,28,0.1,0.2,2.2,2.7,19.3
Ed Davis,63,15.3,0.4,16.1,27,0,0.2,1,1,3.1
Ekpe Udoh,42,19.3,0.7,21.2,31,0.1,0.4,1.5,1.7,4.3
Elias Harris,2,5.7,0.5,4,1,0,0,0.5,1,8.4
Elliot Williams,67,17.4,1.1,14.4,72,0.2,0.1,2.5,2.6,7.3
Elton Brand,72,19.5,1,26,74,0.1,0.4,2.1,2.5,6.2
Enes Kanter,80,26.8,0.9,27.2,75,0.1,0.3,2,2.3,4.2
Eric Bledsoe,43,33,5.5,50,235,0.5,0.7,11.3,13.2,19.2
Eric Gordon,64,32.3,3.3,23.8,208,0.3,0.5,6.3,7.2,10.7
Eric Maynor,8,14.1,1.5,25.4,12,0.4,0.6,4,3.6,12.3
Eric Maynor,23,9.4,1.7,20.8,40,0.2,0.4,3.5,4.3,22
Eric Maynor,31,10.6,1.7,22,52,0.2,0.5,3.6,4.1,18.7
Erik Murphy,24,2.6,0.1,4.3,2,0,0,0.2,0.2,3.1
Ersan Ilyasova,54,27.1,1.3,38.1,70,0.1,0.4,3,3.1,5.4
E'Twaun Moore,79,19.1,1.4,16.4,112,0.2,0.4,3.1,3.3,8.2
Evan Fournier,76,20,1.5,18.7,112,0.3,0.3,3.1,3.5,8.5
Evan Turner,27,21.2,2.4,24.1,64,0.5,0.6,4.4,5.7,12.9
Evan Turner,54,35,3.7,42,198,0.5,0.8,7.8,8.6,11.8
Evan Turner,81,30.4,3.2,36,262,0.5,0.7,6.7,7.7,12.1
Francisco Garcia,55,19.8,1.1,17.5,63,0.2,0.2,2.1,2.8,6.8
Gal Mekel,31,9.5,2,18.5,63,0.2,0.4,3.8,5,25
Garrett Temple,74,8.7,1,15.7,72,0.1,0.4,2.1,2.4,13.4
Gary Neal,22,23.1,1.7,25.8,37,0.3,0.8,4.2,4,8.3
Gary Neal,29,20.1,1.4,21,42,0,0.2,3.2,3.3,7.8
Gary Neal,51,21.4,1.5,23.1,79,0.1,0.4,3.7,3.6,8
George Hill,76,32.2,3.5,56.9,265,0.3,1.1,7.3,7.9,11.8
Gerald Green,82,28.5,1.5,22.1,122,0.2,0.3,3.1,3.6,6.1
Gerald Henderson,76,32.2,2.6,38.6,199,0.2,0.9,5.4,6,8.9
Gerald Wallace,58,24.6,2.5,29.8,143,0.2,0.4,4.4,5.8,11.3
Giannis Antetokounmpo,76,24.9,2,33.8,150,0.4,0.6,3.7,4.7,9
Gigi Datome,34,7.1,0.3,6.8,11,0,0.1,0.8,0.8,5.2
Glen Davis,23,13.5,0.3,11.5,7,0,0.3,0.6,0.7,2.5
Glen Davis,45,30.2,1.6,33.6,70,0.2,0.6,3.1,3.6,5.8
Glen Davis,68,24.6,1.1,26.1,77,0.1,0.5,2.2,2.6,5.2
Glen Rice,11,10,0.6,11.8,7,0,0.2,1.5,1.1,5.3
Goran Dragic,76,35.4,5.9,54.6,447,0.7,1.1,12.2,14.8,20.1
Gordon Hayward,77,36.5,5.2,49.9,400,0.6,1.3,11.2,12.4,16.3
Gorgui Dieng,60,13.7,0.7,14.1,39,0.1,0.3,1.5,1.5,5.4
Greg Monroe,82,33.1,2.1,33.9,171,0.4,0.4,4.5,4.9,7.2
Greg Oden,23,9.3,0,6.3,1,0,0.2,0,0.1,0.7
Greg Smith,11,9.2,0,8.1,0,0,0,0.4,0,0
Greg Stiemsma,55,18.4,0.7,25.6,36,0.1,0.2,1.7,1.5,3.9
Greivis Vasquez,17,26.7,5.4,51.7,92,0.5,0.8,12.2,11.9,21.4
Greivis Vasquez,61,21.6,3.7,42.7,228,0.4,1,7.3,8.9,19.7
Greivis Vasquez,78,22.7,4.1,44.7,320,0.4,1,8.4,9.5,20.1
Gustavo Ayon,25,16.9,1.1,28,28,0,0.5,2.4,2.6,7.5
Hamady Ndiaye,14,5.3,0.2,5,3,0,0,0.2,0.3,2.6
Harrison Barnes,77,28.3,1.5,19.5,115,0.1,0.5,2.8,3.6,6.1
Hasheem Thabeet,23,8.4,0,5.9,1,0,0.1,0.3,0.1,0.7
Hedo Turkoglu,38,10.4,0.9,17.1,33,0.1,0.2,1.8,2,9.4
Henry Sims,20,8.5,0.3,6.8,5,0.1,0.1,0.7,0.7,3.7
Henry Sims,26,27.3,1.8,31.9,47,0.1,0.5,3.6,4.2,7.4
Henry Sims,46,19.1,1.1,21,52,0.1,0.3,2.3,2.7,6.7
Hilton Armstrong,15,6.5,0.3,5.5,5,0,0,0.6,0.7,4.9
Hollis Thompson,77,22.7,0.9,17.3,73,0.1,0.3,2.3,2.3,4.9
Ian Clark,23,7.5,0.7,7.6,15,0.1,0.2,0.9,1.4,8.9
Ian Mahinmi,77,16.3,0.3,12.9,24,0.1,0.1,0.9,0.8,2.4
Iman Shumpert,74,26.6,1.7,24,129,0.1,0.5,3.9,4.2,7.6
Isaiah Canaan,22,11.4,1,18.1,22,0.3,0.5,2.2,2.6,10.9
Isaiah Thomas,71,34.9,6.3,59.6,446,0.9,0.9,13,14.5,19.9
