player,GP,MIN per game,AST per game,"Passes 
per game",Total AST,"FT Assists 
per game","Secondary Assists 
per game","Assist opportunities 
per game","Points created by 
assist per game","Points Created by 
AST Per 48 Min"
Tyreke Evans,72,28.3,5,34.1,363,0.6,0.6,9.2,11.9,20.1
Tyshawn Taylor,22,12,1.6,19.9,36,0.5,0.4,2.8,4,16
Tyson Chandler,55,30.4,1.1,31,59,0,0.5,2.6,2.5,4
Udonis Haslem,46,14.3,0.3,13.2,13,0,0.3,0.5,0.7,2.4
Vander Blue,3,4.9,0.3,2,1,0,0,0.7,0.7,6.5
Viacheslav Kravtsov,20,3,0.1,4,1,0,0,0.3,0.1,2.4
Victor Claver,21,8.8,0.6,8.8,12,0.1,0,0.9,1.3,7.3
Victor Oladipo,80,31.2,4.1,46.7,327,0.4,1,9.1,9.4,14.4
Vince Carter,81,24.4,2.6,29.8,212,0.3,0.5,4.9,6,11.9
Vitor Faverani,37,13.3,0.4,19.2,16,0.1,0.2,1,1,3.6
Wayne Ellington,45,8.7,0.4,7.9,19,0,0,0.8,1,5.5
Wesley Johnson,79,28.5,1.6,26.2,124,0.1,0.3,3.1,3.6,6.1
Wesley Matthews,82,34.1,2.4,30.1,197,0.2,0.7,4.8,5.5,7.8
Will Barton,41,9.5,0.8,10.7,33,0.1,0.4,1.7,1.9,9.8
Will Bynum,56,18.9,3.9,27,216,0.5,0.8,7.8,8.9,22.5
Willie Green,55,15.9,0.9,15.7,50,0.2,0.4,2.2,2.4,7.2
Wilson Chandler,62,31.2,1.8,28.1,114,0.2,0.4,3.6,4.3,6.7
Xavier Henry,43,21.2,1.2,22.3,51,0.1,0.4,3,2.7,6.2
Zach Randolph,79,34.4,2.5,36.6,200,0.2,0.6,5.2,5.8,8.1
Zaza Pachulia,52,25.3,2.6,31,136,0.4,0.5,4.8,5.8,11
